ticker,total_signals,avg_sentiment_polarity,avg_semantic_impact,earnings_count,analyst_count,regulation_count,daily_signal_label
AAL,54,0.0442,0.3083,9,4,1,Neutral
AAOI,44,0.0326,0.311,7,2,2,Bearish
ALM,39,0.0746,0.2145,3,2,0,Bullish
AMZN,60,0.0814,0.274,2,5,0,Bullish
ASO,58,0.0295,0.2682,15,1,1,Neutral
ASTS,45,0.0293,0.3049,6,2,0,Neutral
AVGO,60,0.0837,0.3026,8,6,0,Bullish
AXTI,43,-0.0061,0.2958,6,1,0,Neutral
BBD,32,0.0018,0.286,2,2,0,Neutral
BETA,49,0.0444,0.1738,2,3,4,Bearish
BIPC,18,-0.0174,0.2799,1,1,0,Neutral
BL,53,0.0882,0.2371,2,0,1,Bullish
BMNR,56,0.0645,0.2593,3,0,0,Bullish
BTDR,35,0.0116,0.2957,5,0,1,Neutral
BTSG,45,0.0519,0.3009,5,4,0,Bullish
CARG,42,0.0545,0.3038,7,0,1,Bullish
CC,51,0.0406,0.1675,3,3,1,Neutral
CE,60,0.05,0.185,1,3,3,Bearish
CNI,53,0.0118,0.2371,2,1,1,Neutral
COCO,50,0.0574,0.1795,2,1,1,Bullish
CRDO,51,0.0736,0.2857,7,5,0,Bullish
CRWV,60,0.0386,0.2763,8,1,0,Neutral
DOCN,40,0.0686,0.3129,4,0,1,Bullish
ELAN,51,0.018,0.2432,7,0,0,Neutral
EMAT,16,0.0163,0.2395,1,1,1,Neutral
ESLT,46,0.1008,0.3806,26,0,1,Bullish
F,60,0.078,0.1305,0,3,2,Bullish
FG,36,-0.0058,0.2345,3,0,2,Bearish
FRPT,40,0.0294,0.3094,6,6,0,Neutral
HNI,48,0.0605,0.286,8,1,0,Bullish
INTC,60,0.0468,0.2823,5,2,0,Neutral
IREN,60,0.0381,0.2425,2,3,0,Neutral
KC,53,-0.0175,0.1771,6,0,1,Neutral
LB,53,0.0941,0.1653,1,1,0,Bullish
LLY,58,0.0746,0.3185,4,9,2,Bullish
LMND,45,0.1319,0.3003,4,8,0,Bullish
MANE,51,0.0987,0.1778,1,0,0,Bullish
MARA,60,0.0277,0.1935,2,1,1,Neutral
MTN,60,0.0533,0.2666,11,0,0,Bullish
MU,60,0.1153,0.2873,16,6,0,Bullish
NBIS,60,0.0118,0.2713,7,0,1,Neutral
NG,58,0.0211,0.1929,2,1,1,Neutral
NOK,47,0.0495,0.2595,5,0,1,Neutral
NU,60,0.1034,0.2353,5,1,1,Bullish
NVDA,60,0.0667,0.2873,7,5,1,Bullish
NVTS,43,0.0408,0.2564,6,0,1,Neutral
ONDS,52,0.0468,0.278,7,1,2,Bearish
OPEN,60,0.0125,0.1328,2,0,2,Bearish
OWL,60,0.0482,0.204,2,3,1,Neutral
PFE,56,0.1178,0.3165,10,3,1,Bullish
PL,60,0.0251,0.186,5,2,1,Neutral
PLTR,60,0.0367,0.2956,3,3,1,Neutral
PLUG,56,0.0577,0.2358,2,1,2,Bullish
RCAT,34,-0.021,0.2976,7,1,0,Neutral
RIG,49,-0.0051,0.1636,1,0,1,Neutral
RKLB,60,0.0795,0.328,12,5,3,Bullish
RXO,41,0.0395,0.2979,1,2,1,Neutral
SEI,52,0.0295,0.3063,6,1,1,Neutral
SMTC,47,0.0097,0.3682,13,11,0,Neutral
SOFI,60,0.0416,0.2951,0,1,1,Neutral
SOUN,47,0.0579,0.3104,12,2,0,Bullish
STUB,33,0.0319,0.2769,4,1,0,Neutral
TGTX,31,0.0774,0.2747,10,0,1,Bullish
TME,48,0.0627,0.2801,27,0,1,Bullish
TSAT,37,0.0049,0.3125,10,2,3,Bearish
TSLA,60,0.0692,0.3085,6,2,0,Bullish
TTD,60,0.0348,0.244,3,0,0,Neutral
TXG,26,-0.0137,0.2902,3,1,1,Neutral
WDC,53,0.0228,0.3103,3,0,0,Neutral
XPEV,30,0.0317,0.3093,7,0,0,Neutral
YSS,24,-0.0088,0.2771,4,1,0,Neutral
