Document,Dominant Topic No,Dominant Topic Name
". The TMC will fight this Central government's move at every step, she asserted at her party's poll rally in Cooch Behar. The Constitution 131st Amendment Bill to tweak the women's quota law, along with the Delimitation Bill and the Union Territories Laws Amendment Bill, to implement the proposed amended women's quota law in the Union territories of Delhi, Puducherry and Jammu and Kashmir, were introduced in the Lok Sabha on Thursday. According to the Constitution amendment bill, Lok Sabha seats will be increased to a maximum of 850 from the current 543 to",3,Nandigram Movement and Land Politics
"s quota law in Parliament as a front for the Delimitation Bill that would ""break the country into pieces"". The TMC will fight this Central government",3,Nandigram Movement and Land Politics
"West Bengal Chief Minister Mamata Banerjee on Friday alleged the BJP-led NDA government at the Centre was using the proposed amendment to the women's quota law in Parliament as a front for the Delimitation Bill that would ""break the country into pieces"". The TMC will fight this Central government's move at every step, she asserted at her party's poll rally in Cooch Behar. The Constitution 131st Amendment Bill to tweak the women's quota law, along with the Delimitation Bill and the Union Territories Laws Amendment Bill, to implement the proposed amended women's quota law in the Union territories of Delhi, Puducherry and Jammu and Kashmir, were introduced in the Lok Sabha on Thursday. According to the Constitution amendment bill, Lok",3,Nandigram Movement and Land Politics
"transform Tamil Nadu into a drug-free state."" with inputs from PTI Video Rajasthan Chief Minister Bhajanlal Sharma held a roadshow in support of BJP candidate Shankar Ghosh from the Siliguri Assembly constituency in poll-bound West Bengal on Friday. ""You can see the enthusiasm of the people here. You can clearly see that the people of Bengal have made up their mind to remove this corrupt government... I can say that the BJP is going to win in Bengal with a huge majority,"" he said during the rally. WATCH Siliguri, West Bengal Rajasthan Chief Minister Bhajanlal Sharma holds a roadshow in support of BJP candidate Shankar Ghosh from Siliguri Assembly constituency. Rajasthan Chief Minister Bhajanlal Sharma says, ""You can see the",6,Assembly Elections and Government Criticism
"Bengal Assembly and the Bharatiya Janata Party BJP candidate from the Bhabanipur and Nandigram Assembly constituencies, Suvendu Adhikari, publicly alleged on Thursday that political consultancy firm I-PAC, which is handling ruling Trinamool Congress's poll campaign, is providing TMC supporters with fake press cards with the aim of influencing voting in the upcoming Assembly elections in the state. Calling the Election Commission's attention to what he called a ""grave conspiracy, the BJP leader said, ""According to credible reports, IPAC is systematically issuing Fake Press Identification Cards to TMC party workers. These individuals are not journalists by profession but are being disguised as members of the media to gain unrestricted access to sensitive areas, including polling premises and key administrative hubs."" I",10,Campaign Strategy and State Leadership
"between the devil and the deep sea. It will lose out, be it in supporting or opposing the three bills that pave the way for the 33% quota for women. ""If Chanakya had been alive, he would have been shocked by your cunning,"" Priyanka Gandhi said with a smile , delivering a backhanded compliment to Home Minister Amit Shah, who was left smiling too. The Opposition realises the bigger politics and has questioned the timing of the special session of Parliament, which comes even as Tamil Nadu and West Bengal are yet to vote. The Trinamool Congress fears that it might be the BJP's attempt to consolidate women voters in Bengal, who have largely sided with the Mamata Banerjee-led party,",5,Land Acquisition and Bhabanipur Politics
"after May 4 the day of counting we will bring all those behind the incident and not arrested by police to Sathi s residence and make them apologise to her. AIADMK general secretary and Leader of the Opposition, Edappadi K. Palaniswami, on Friday April 17, 2026 dismissed as unnecessary melodrama Tamil Nadu Chief Minister and DMK president M.K. Stalin s protest against the Delimitation Bill and criticism against his party that by supporting the legislative measure, the AIADMK was betraying the interests of the State. Edappadi Palaniswami criticizes M.K. Stalin's claims on delimitation, asserting Tamil Nadu's Lok Sabha share increase and political deception. Chief Minister Mamata Banerjee alleged the BJP-led NDA Government at the Centre was using the proposed amendment",7,Opposition Leaders and Women Participation
"cash for votes Mamata Banerjee claims linking women's quota and delimitation bills is a conspiracy to manipulate voter rolls and divide India. In a last week West Bengal poll campaign push, All India Trinamool Congress AITC chairperson and Chief Minister Mamata Banerjee on Friday turned up the heat against what she calls the Bangla Birodhi Bharatiya Janata Party.Campaigning for candidates contesting from various seats in the Cooch Behar district on Thursday, CM Banerjee vowed to fight for protecting Bengal, safeguarding people s rights, and preserving its secular fabric. As long as I stand, I will not allow the Bangla-Birodhi Zamindars to inflict misery or suffering on the people of this land. I will fight to protect Bengal, safeguard the rights",9,Political Power and Resistance
"been cleared by tribunals to exercise their franchise in the West Bengal assembly polls. West Bengal Chief Minister Mamata Banerjee said the SC has given the direction in a case filed by her. Those whose names have been left out should apply to the tribunal. They will certainly get back their voting rights. I am very happy. This verdict has come in a case filed by me. I am proud of the judiciary. No one is happier than I am today, she said in Cooch Behar.-- PTI Tamil Nadu Deputy Chief Minister Udhayanidhi Stalin said he has campaigned in almost 100 constituencies in the last 16 days and is getting positive feedback from people. We are getting very positive feedback",8,"Development, Roads and Local Governance"
"The Assembly elections are underway with Tamil Nadu and West Bengal to vote later in the month. Assembly elections 2026 LIVE Maharashtra Chief Minister Devendra Fadnavis on Friday showed strong confidence in a saffron surge in the upcoming 2026 West Bengal Assembly elections. The senior BJP leader claimed that the state is ""ready for a change"" after 15 years of Trinamool Congress TMC governance. Fadnavis accused the TMC government of enabling illegal infiltration and driving industries out of the state. He claimed that over 6,000 industries and 100 listed companies had left Bengal. He added that a BJP government would restore industrial growth and create jobs, while also dismissing allegations of the BJP being an outsider party in the state.",10,Campaign Strategy and State Leadership
