source,title,summary,published,url,scraped_at
Economic Times,Smartphone sector needs PLI 2.0 boost,"India's government is right to extend PLI for smartphone exports, sustaining momentum and signaling its intent to become a global manufacturing hub. This strategy leverages the presence of major players like Apple and Samsung, fostering local value addition and employment. Continued subsidies are crucial to counter Chinese competition and create opportunities for domestic brands.","27 Feb, 2026, 11:56 PM IST",https://economictimes.indiatimes.com/opinion/et-editorial/smartphone-sector-needs-pli-2-0-boost/articleshow/128862373.cms,2026-02-28 12:24:02
Economic Times,Explained: Why Redington shares soared 17% after Apple’s teaser ‘big week ahead’,"Redington shares surged up to 17% after a teaser from Apple CEO Tim Cook hinted at major product launches next week. With Apple contributing nearly one-third of Redington’s revenue, investor enthusiasm spiked ahead of expected updates to iPhone, iPad and Mac lineups, reinforcing optimism around the distributor’s growth prospects.","27 Feb, 2026, 04:46 PM IST",https://economictimes.indiatimes.com/markets/stocks/news/explained-why-redington-shares-soared-17-after-apples-teaser-big-week-ahead/articleshow/128846729.cms,2026-02-28 12:24:02
Economic Times,"Monarch: Legacy of Monsters Season 2 release time, schedule and how to watch: Apple TV premiere date, Episode 1 global streaming timings worldwide","Monarch: Legacy of Monsters Season 2 release time, schedule and how to watch details the February 27, 2026 premiere on Apple TV+, early US release pattern, 10-episode weekly rollout, global timings, cast returns, Titan X debut, and subscription plans including free trial access.","27 Feb, 2026, 03:14 PM IST",https://economictimes.indiatimes.com/news/international/us/monarch-legacy-of-monsters-season-2-release-time-schedule-and-how-to-watch-apple-tv-premiere-date-episode-1-global-streaming-timings-worldwide-monsterverse-series-new-season-godzilla-titans-titan-x-king-kong/articleshow/128843275.cms,2026-02-28 12:24:02
Economic Times,Indian apple growers to protest US duty concession: Tarigami,"Apple growers from Jammu and Kashmir, Himachal Pradesh, and Uttarakhand will protest in Delhi next month to oppose a proposed duty concession on US apples under a trade pact that would allow duty-free imports from the United States. They warn the move could flood Indian markets and harm domestic farmers. The Samyukta Kisan Morcha has pledged support for the protest.","27 Feb, 2026, 01:36 PM IST",https://economictimes.indiatimes.com/news/india/indian-apple-growers-to-protest-us-duty-concession-tarigami/articleshow/128841219.cms,2026-02-28 12:24:02
Economic Times,"Tim Cook teases ‘big week’. Apple March 2026 launch to reveal budget MacBook, iPhone 17e?",Apple's big 2026 launch event begins Monday morning. Tim Cook's teaser hints at new products. A budget MacBook is expected to be a highlight. Other devices like the iPhone 17e and new iPads are also anticipated.,"27 Feb, 2026, 08:23 AM IST",https://economictimes.indiatimes.com/news/new-updates/apple-march-2026-launch-event-tim-cook-big-week-budget-macbook-iphone-17e-expected/articleshow/128835204.cms,2026-02-28 12:24:02
Economic Times,Juice or just a crunch? Apple Pay is polishing its India plans,"If Apple Pay succeeds in India, it'll mean that Apple has moved from being a premium device seller in India to a fully integrated ecosystem player manufacturing locally, selling through its own stores and embedding financial services into everyday life.","27 Feb, 2026, 12:03 AM IST",https://economictimes.indiatimes.com/industry/banking/finance/banking/juice-or-just-a-crunch-apple-pay-is-polishing-its-india-plans/articleshow/128818896.cms,2026-02-28 12:24:02
Economic Times,"iPhone 17 From Rs 57,990, AirPods Pro under Rs 22,000 & more: Reliance Digital’s Apple sale is here; Check deals and validity date","Reliance Digital is offering attractive deals on Apple products until March 6, 2026. Customers can avail exchange bonuses, instant bank discounts, and No Cost EMI on the iPhone 17 series, MacBook Air M4, and iPads. Special pricing is also available for Apple Watch SE and AirPods Pro.","26 Feb, 2026, 05:51 PM IST",https://economictimes.indiatimes.com/news/new-updates/iphone-17-from-rs-57990-airpods-pro-under-rs-22000-more-reliance-digitals-apple-sale-is-here-check-deals-and-validity-date/articleshow/128813505.cms,2026-02-28 12:24:02
Economic Times,"Apple in talks with ICICI, HDFC & Axis Bank to start payment service in India","Apple is in talks with ICICI Bank, HDFC Bank and Axis Bank, along with Visa and Mastercard, to launch Apple Pay in India around mid-2026, though the timeline is not final. The service is expected to support UPI as well as card payments, entering a market dominated by Google Pay, PhonePe, Amazon Pay and Paytm.","26 Feb, 2026, 03:55 PM IST",https://economictimes.indiatimes.com/industry/banking/finance/banking/apple-in-talks-with-icici-hdfc-axis-bank-to-start-payment-service-in-india/articleshow/128804650.cms,2026-02-28 12:24:02
Economic Times,"Apple in talks with banks to start payment service in India, Bloomberg News reports","The iPhone maker Apple ⁠is in talks with ICICI Bank, HDFC Bank and Axis Bank, as it aims to introduce its payment service in India around the middle ⁠of 2026, a report by Bloomberg said.","26 Feb, 2026, 02:06 PM IST",https://economictimes.indiatimes.com/tech/technology/apple-in-talks-with-banks-to-start-payment-service-in-india-bloomberg-news-reports/articleshow/128807700.cms,2026-02-28 12:24:02
Economic Times,Apple expands in Mumbai with new Borivali store,"Apple is set to open its sixth retail store in India at Sky City Mall in Borivali, marking its second location in Mumbai and signalling a deeper push into city-level markets. The new outlet will stock the latest Apple products, including the iPhone 17 series, iPhone Air, Apple Watch Ultra 3, Apple Watch Series 11, and new iPad and Mac models powered by the M5 chip, along with services such as Trade In, financing, Personal Setup and business support.","26 Feb, 2026, 01:07 AM IST",https://economictimes.indiatimes.com/magazines/panache/apple-expands-in-mumbai-with-new-borivali-store/articleshow/128793862.cms,2026-02-28 12:24:02
Economic Times,"Apple and Amazon took too long to remove anti-competitive clauses, Spanish watchdog says",The CNMC ⁠regulator fined ⁠the two companies 194 million euros ($228 million) in total in July 2023 over those clauses and ordered their immediate removal from distribution contracts. It said they unfairly restricted the number of Apple resellers on Amazon's website in Spain. The latest finding of infringement could mean a further fine.,"25 Feb, 2026, 09:23 PM IST",https://economictimes.indiatimes.com/tech/technology/apple-and-amazon-took-too-long-to-remove-anti-competitive-clauses-spanish-watchdog-says/articleshow/128787860.cms,2026-02-28 12:24:02
Economic Times,Apple could launch touch-screen MacBook Pro with Dynamic Island this year,"Apple is set to introduce touch-screen MacBooks. These new models, likely 14 and 16-inch MacBook Pros, are anticipated by late 2026. They will feature OLED displays and Apple's Dynamic Island. The interface will adapt for touch, complementing keyboard and trackpad use.","25 Feb, 2026, 11:34 AM IST",https://economictimes.indiatimes.com/news/new-updates/apple-touch-screen-macbook-pro-models-dynamic-island-launch-date-new-features/articleshow/128771431.cms,2026-02-28 12:24:02
Economic Times,Apple shareholders reject call for report on China manufacturing risks,"Apple shareholders on Tuesday rejected a proposal to report on the company's dependence on China to manufacture most of its products. The vote came after Apple has worked for nearly a decade to broaden its manufacturing base to Vietnam, ⁠India and ⁠the US, where it said earlier that it would assemble some of its Mac mini computers to meet US demand starting later this year.","25 Feb, 2026, 07:35 AM IST",https://economictimes.indiatimes.com/tech/technology/apple-shareholders-reject-call-for-report-on-china-manufacturing-risks/articleshow/128767642.cms,2026-02-28 12:24:02
Economic Times,"Tim Cook warned by CIA that China could move on Taiwan by 2027, report says","Tim Cook CIA briefing China Taiwan 2027 threat: Apple CEO received a classified CIA briefing in July 2023, warning of a potential Chinese move on Taiwan by 2027. The briefing highlighted the global reliance on Taiwan's advanced chip production, a critical factor for Apple and the tech industry.","25 Feb, 2026, 01:22 AM IST",https://economictimes.indiatimes.com/news/international/us/tim-cook-warned-by-cia-that-china-could-move-on-taiwan-by-2027-report-says/articleshow/128761224.cms,2026-02-28 12:24:02
Economic Times,Apple shifts Mac Mini assembly from Asia to US under Trump-backed ‘Make in America’ plan,"Apple will produce the Mac mini in the United States for the first time, expanding its Houston operations as part of a $600 billion domestic investment plan highlighted during Donald Trump’s presidency. The move includes scaling AI server manufacturing and launching a new advanced manufacturing training centre later this year.","24 Feb, 2026, 05:08 PM IST",https://economictimes.indiatimes.com/news/international/business/apple-shifts-mac-mini-assembly-from-asia-to-us-under-trump-backed-make-in-america-plan/articleshow/128749939.cms,2026-02-28 12:24:02
Economic Times,"Apple to shift some Mac Mini production to Houston from Asia, WSJ reports","Apple will move some production of its Mac Mini desktop computer to the US from Asia, with a new manufacturing effort set to begin later this year at a Foxconn facility in north Houston, The Wall Street Journal reported on Monday.","24 Feb, 2026, 08:31 AM IST",https://economictimes.indiatimes.com/tech/technology/apple-to-shift-some-mac-mini-production-to-houston-from-asia-wsj-reports/articleshow/128737919.cms,2026-02-28 12:24:02
